the_geom,Longitude,Latitude,Agent Key,key,Name,Address,City,State,Zip,Outlet Type,Status,Phone,Directions,GlobalID,ObjectID
POINT (-77.649919766093 41.733866766734),-77.64991977,41.73386677,,5557,NORTH CENTRAL SUPPLY,25 WEST STREET,GALETON,PA,16922,D,-1,(713) 078-0950,"http://maps.google.com/maps?q=41.73386677,-77.64991977",{C633BEEB-B8CC-4A31-A8E7-EA8D04BD9A18},21384
POINT (-76.854662862121 40.296221959198),-76.85466286,40.29622196,885,1675,PA GAME LICENSE DIVISION,2001 ELMERTON AVE,HARRISBURG,PA,17110,D,-1,(925) 007-6024,"http://maps.google.com/maps?q=40.29622196,-76.85466286",{C51C80B3-C198-4268-BEB9-FC95A8A7E46C},16874
POINT (-77.405795566401 40.168074623886),-77.40579557,40.16807462,,5672,Grady's Air Gun World,111 Fairfield Street,Newville,PA,17241,D,-1,(822) 691-8851,"https://www.google.com/maps/dir//40.16807462,-77.40579557/",{D0F0F53F-8D5D-4C13-8AD8-81450136110A},23659
POINT (-75.831484340657 41.484094814322),-75.83148434,41.48409481,,5633,Dave's Firearms and Fishing Shop,1932 SR 307,DALTON,PA,18414,D,-1,(383) 423-1139,"https://www.google.com/maps/dir//41.48409481,-75.83148434/",{5EFF16BF-5BAB-4A34-8256-A6DDB6F5C22D},23652
POINT (-74.989878684429 41.486382523058),-74.98987868,41.48638252,,5576,TWO RIVER ANGLERS LLC,106 SCENIC DR,LACKAWAXEN,PA,18435,D,-1,(869) 054-1083,"http://maps.google.com/maps?q=41.48638252,-74.98987868",{D75B229C-C4A8-4BC2-AA28-9F3F53774DD2},21387
POINT (-79.75625850003 40.599926999961),-79.7562585,40.599927,87,537,ALLEGHENY BAIT AND TACKLE,200 ROSS ST,TARENTUM,PA,15084,F,-1,(785) 878-5900,"http://maps.google.com/maps?q=40.599927,-79.7562585",{EF42DA78-B913-43C7-BF4C-08D402DF4728},16815
POINT (-79.901408987917 40.272656188766),-79.90140899,40.27265619,576,1140,SHADLURE TACKLE,3067 SCOTIA HOLLOW RD S,W ELIZABETH,PA,15088,F,-1,(538) 546-1406,"http://maps.google.com/maps?q=40.27265619,-79.90140899",{A8A893BF-B189-4FE7-8456-6959218DD56F},16912
POINT (-79.768064464921 40.216669280324),-79.76806446,40.21666928,734,1312,YOUGHIOGHENY CANOE OUTFITTERS,226 1/2 COLLINSBURG RD,WEST NEWTON,PA,15089,F,-1,(322) 254-3592,"http://maps.google.com/maps?q=40.21666928,-79.76806446",{8B83290A-6304-40C6-B79C-BDE276BDB658},16943
POINT (-80.148181270149 40.517152782984),-80.14818127,40.51715278,338,870,ISLAND FIREARMS INC,7500 GRAND AVE,PITTSBURGH,PA,15225,F,-1,(842) 248-1633,"http://maps.google.com/maps?q=40.51715278,-80.14818127",{568817BA-F1FE-43D7-A140-2706F7DAD1E9},16853
POINT (-79.800960723913 39.928239416275),-79.80096072,39.92823942,1330,2203,DUNLAP CREEK LAKE OUTDOOR CTR,296 KRULOCK RD,UNIONTOWN,PA,15401,F,-1,(328) 375-3964,"http://maps.google.com/maps?q=39.92823942,-79.80096072",{70BB83FA-E949-43A5-B270-365765CD1573},16842
POINT (-79.615752012904 40.022021665895),-79.61575201,40.02202167,1301,2164,SALATINO GUN SHOP,679 VANDERBILT RD,CONNELLSVILLE,PA,15425,F,-1,(146) 093-1522,"http://maps.google.com/maps?q=40.02202167,-79.61575201",{EB948C2D-6810-4F51-BF02-81272A824577},16903
POINT (-79.070506642417 40.022543813212),-79.07050664,40.02254381,48,517,PFBC SOUTHWEST REGION,236 LAKE ROAD,SOMERSET,PA,15501,F,-1,(833) 618-5451,"http://maps.google.com/maps?q=40.02254381,-79.07050664",{1E159FAD-F5FD-4CFA-9ED9-0CC6BBE5579F},16891
POINT (-79.032362984287 40.160989382141),-79.03236298,40.16098938,143,612,BOSWELL PRESCRIPTION CENTER,210 OHIO ST,BOSWELL,PA,15531,F,-1,(826) 455-9624,"http://maps.google.com/maps?q=40.16098938,-79.03236298",{B3A13F9A-A2FE-4AA3-96C1-740B72D40361},16825
POINT (-78.638796058246 40.048946517341),-78.63879606,40.04894652,1303,2167,SHAWNEE COUNTRY STORE,3875 PITT ST,SCHELLSBURG,PA,15559,F,-1,(378) 634-6090,"http://maps.google.com/maps?q=40.04894652,-78.63879606",{6D318A53-A89A-4435-BF02-C2CB8AA2692A},16907
POINT (-79.4363607782 40.12813435929),-79.43636078,40.12813436,536,1095,REDS BAIT SHOP,2907 STATE ROUTE 31,ACME,PA,15610,F,-1,(277) 577-6200,"http://maps.google.com/maps?q=40.12813436,-79.43636078",{5D3471AE-A304-4C34-87E1-4F482F45BB46},16906
POINT (-79.187577699849 40.211203000107),-79.1875777,40.211203,550,1116,ROLLING ROCK CLUB,167 CLUBHOUSE LANE,Laughlintown,PA,15655,F,-1,(111) 165-1441,"http://maps.google.com/maps?q=40.211203,-79.1875777",{EDBE36DE-33BF-4670-A14C-2D60894840B1},16902
POINT (-79.525005626732 40.146268242163),-79.52500563,40.14626824,343,874,JACK CARUSO AND SONS SUNOCO,291 E MAIN ST,MOUNT PLEASANT,PA,15666,F,-1,(832) 807-4770,"http://maps.google.com/maps?q=40.14626824,-79.52500563",{53237EBC-E903-4D20-89FC-ACEB01CC5EFB},16854
POINT (-78.739618838875 41.18101117121),-78.73961884,41.18101117,675,1252,TREASURE LAKE PROPERTY,13 TREASURE LAKE,DU BOIS,PA,15801,F,-1,(408) 088-3965,"http://maps.google.com/maps?q=41.18101117,-78.73961884",{2E8AE100-CDFA-4282-AD7B-D97FA473929A},16936
POINT (-78.679089611226 41.52323663623),-78.67908961,41.52323664,1100,1913,BIONDIS FEEDS NEEDS,2082 OLD STATE RD,JOHNSONBURG,PA,15845,F,-1,(441) 803-3342,"http://maps.google.com/maps?q=41.52323664,-78.67908961",{5E606880-53A6-4A85-9293-24549BFBD633},16828
POINT (-78.583839089287 41.201655422752),-78.58383909,41.20165542,1258,2107,FEATHERMAN CREATIONS,11484 BENNETTS VALLEY HWY,PENFIELD,PA,15849,F,-1,(554) 912-8744,"http://maps.google.com/maps?q=41.20165542,-78.58383909",{E960A6E5-1670-42E5-8B97-1AEB835EAD01},16843
POINT (-78.888273723856 41.087002273979),-78.88827372,41.08700227,1325,2195,A AND L LIL BAIT SHOP,345 BRADFORD ST,REYNOLDSVILLE,PA,15851,F,-1,(243) 332-2432,"http://maps.google.com/maps?q=41.08700227,-78.88827372",{71048D96-982B-4388-B52E-1F9D9FB01109},16810
POINT (-78.73564650396 41.420794427946),-78.7356465,41.42079443,1120,1933,LAZY RIVER CANOE RENTAL,40 WEST MAIN STREET,RIDGWAY,PA,15853,F,-1,(624) 201-9572,"http://maps.google.com/maps?q=41.42079443,-78.7356465",{BBF5001A-661D-4E17-80BB-93607B3FBB41},16864
POINT (-78.56098568166 41.420168081724),-78.56098568,41.42016808,1249,2098,ON THE SPOT NOTARY REG SERV,572B S SAINT MARYS ST,SAINT MARYS,PA,15857,F,-1,(176) 326-0851,"http://maps.google.com/maps?q=41.42016808,-78.56098568",{2175BC34-6038-4F4E-B90A-3CD0275CEFB3},16878
POINT (-79.084208935601 41.307302705099),-79.08420894,41.30730271,172,646,CAMPERS PARADISE,37 STEELE DR,SIGEL,PA,15860,F,-1,(391) 233-0994,"http://maps.google.com/maps?q=41.30730271,-79.08420894",{93E8F027-0E65-425F-BF95-307F76D19DB7},16830
POINT (-80.148522726077 41.432029270217),-80.14852273,41.43202927,1327,2197,BUBBA MAKS BAIT,857 GEORGETOWN RD,SANDY LAKE,PA,16145,F,-1,(309) 499-1033,"http://maps.google.com/maps?q=41.43202927,-80.14852273",{E7515E7D-FD01-4EC3-82A1-51B02AAE8712},16827
POINT (-79.38716006536 41.215297684135),-79.38716007,41.21529768,588,1148,SMATHERS INSURANCE,400 MAIN STREET,CLARION,PA,16214,F,-1,(740) 797-3045,"http://maps.google.com/maps?q=41.21529768,-79.38716007",{C4E3DDA3-2AE0-49BD-8526-2407093F101E},16908
POINT (-80.203114749061 41.625972803326),-80.20311475,41.6259728,40,514,PFBC NORTHWEST REGION,11528 STATE HWY 98,MEADVILLE,PA,16335,F,-1,(162) 536-7326,"http://maps.google.com/maps?q=41.6259728,-80.20311475",{90774C30-D75D-426F-AD60-6662E0C170F6},16887
POINT (-79.339027964128 41.877623544935),-79.33902796,41.87762354,1304,2168,CONNIE S NOTARY SERVICE,2070 MATTHEWS RUN RD,YOUNGSVILLE,PA,16371,F,-1,(272) 810-9315,"http://maps.google.com/maps?q=41.87762354,-79.33902796",{913D5A2F-4DE0-45B9-98A6-10FB1CA84E66},16837
POINT (-80.236765056598 42.077182230883),-80.23676506,42.07718223,67,64,PFBC WALNUT CREEK ACCESS,241 MANCHESTER ROAD,FAIRVIEW,PA,16415,F,-1,(192) 287-7183,"http://maps.google.com/maps?q=42.07718223,-80.23676506",{973F5D10-E02D-4696-AD9F-B07AB547658C},16892
POINT (-80.238915000856 42.041410000852),-80.238915,42.04141,1239,2083,FISHUSA INC,6960 W RIDGE RD,FAIRVIEW,PA,16415,F,-1,(540) 130-6874,"http://maps.google.com/maps?q=42.04141,-80.238915",{54EFA9CD-523C-43F0-BCF8-7BEB17191127},16844
POINT (-80.24110087503 42.058933724197),-80.24110088,42.05893372,1285,2141,POOR RICHARDS LLC,6821 W LAKE RD,FAIRVIEW,PA,16415,F,-1,(335) 843-6976,"http://maps.google.com/maps?q=42.05893372,-80.24110088",{B0EDD772-D021-452D-BF70-A8265B88A42C},16895
POINT (-80.496753363172 41.605693963285),-80.49675336,41.60569396,363,896,K G M INC,10672 PERRY DRIVE,LINESVILLE,PA,16424,F,-1,(797) 811-3869,"http://maps.google.com/maps?q=41.60569396,-80.49675336",{DC2318EA-3E82-47AE-91C4-F93F59B9EACF},16857
POINT (-79.793448795013 42.254149166133),-79.7934488,42.25414917,1253,2102,NORTH EAST MARINE SVC INC,11950 LAKE RD,NORTH EAST,PA,16428,F,-1,(836) 546-4064,"http://maps.google.com/maps?q=42.25414917,-79.7934488",{A1AF6D93-D3CE-4D10-A637-8BD12DF6ACA0},16875
POINT (-78.096816613585 40.40100230587),-78.09681661,40.40100231,573,1097,SEVEN POINTS BAIT AND GROCERY,5942 SEVEN POINTS RD,HESSTON,PA,16647,F,-1,(228) 159-4771,"http://maps.google.com/maps?q=40.40100231,-78.09681661",{2EF45B08-1E41-4143-8256-93DAC1B7C740},16904
POINT (-78.020037598167 41.529437015251),-78.0200376,41.52943702,714,1293,WHARTON GENERAL STORE,27 EAST FORK ROAD,AUSTIN,PA,16720,F,-1,(218) 598-1335,"http://maps.google.com/maps?q=41.52943702,-78.0200376",{04FCB60F-AB8E-4201-9F27-3B7E543330A5},16944
POINT (-78.28496489158 41.817491403213),-78.28496489,41.8174914,1059,1847,BURLESONS TRUE VALUE,512 N MAIN ST,PORT ALLEGANY,PA,16743,F,-1,(159) 529-5265,"http://maps.google.com/maps?q=41.8174914,-78.28496489",{4A3D9838-CBDE-46B9-B4A3-512E6E9946D1},16831
POINT (-77.817454046632 40.819034547288),-77.81745405,40.81903455,641,1629,TCO FLY SHOP STATE COLLEGE,2030 E COLLEGE AVE,STATE COLLEGE,PA,16801,F,-1,(564) 932-6273,"http://maps.google.com/maps?q=40.81903455,-77.81745405",{6DACE57B-050A-4A1E-A08F-AB2D5D192B9C},16927
POINT (-77.769206337612 40.88672840297),-77.76920634,40.8867284,37,2129,PFBC CRO,595 E ROLLING RIDGE DR,BELLEFONTE,PA,16823,F,-1,(980) 126-0731,"http://maps.google.com/maps?q=40.8867284,-77.76920634",{C04F0B3D-18F1-4D0B-89DE-6CDB2197BA98},16882
POINT (-78.43812642222 41.022836999928),-78.43812642,41.022837,350,884,JIMS SPORT CENTER INC,26 N SECOND STREET,CLEARFIELD,PA,16830,F,-1,(420) 058-7857,"http://maps.google.com/maps?q=41.022837,-78.43812642",{03175CFA-8DC3-4F2B-BAE7-2D026F712509},16856
POINT (-77.129258813667 40.149792207924),-77.12925881,40.14979221,1089,1895,GETTY FOOD MART,101 W 1ST STREET,BOILING SPRINGS,PA,17007,F,-1,(789) 173-3268,"http://maps.google.com/maps?q=40.14979221,-77.12925881",{F4137FC1-7C4E-460B-BB84-F96A1E8F3A74},16845
POINT (-77.127683632189 40.150068088689),-77.12768363,40.15006809,641,2063,TCO FLY SHOP,2 E 1ST ST,BOILING SPGS,PA,17007,F,-1,(891) 968-2933,"http://maps.google.com/maps?q=40.15006809,-77.12768363",{5302AD01-3785-49F7-904D-7ABAF437CAD8},16929
POINT (-76.508327893956 40.452563008889),-76.50832789,40.45256301,399,939,LICKDALE CAMPGROUND,11 LICKDALE ROAD,JONESTOWN,PA,17038,F,-1,(306) 757-6400,"http://maps.google.com/maps?q=40.45256301,-76.50832789",{3ED6A72C-9BB1-4651-A926-77C5719DA5F4},16867
POINT (-76.96178549999 40.539509999716),-76.9617855,40.53951,445,985,MILLERSBURG HARDWARE COMPANY,235 MARKET ST,MILLERSBURG,PA,17061,F,-1,(574) 654-4039,"http://maps.google.com/maps?q=40.53951,-76.9617855",{5BC71B0F-D466-4B0A-803A-9F823E80A793},16872
POINT (-76.304440247343 40.375320561016),-76.30444025,40.37532056,391,927,LAUCKS SPORTING GOODS,26 W MAIN AVENUE,MYERSTOWN,PA,17067,F,-1,(355) 267-3901,"http://maps.google.com/maps?q=40.37532056,-76.30444025",{BDBF51B0-64DD-4E04-A4E4-897AAA160EAA},16863
POINT (-77.835545943079 40.392353515168),-77.83554594,40.39235352,864,1617,RIVERFRONT STORE,831 FRONT STREET,NEWTON HAMILTON,PA,17075,F,-1,(743) 034-6677,"http://maps.google.com/maps?q=40.39235352,-77.83554594",{EE931C42-3D82-4904-8C08-25B5B8E119FD},16899
POINT (-77.887775217203 40.077774266325),-77.88777522,40.07777427,1103,1917,BURNT CABINS GRIST MILL LLC,582 GRIST MILL RD,BURNT CABINS,PA,17215,F,-1,(915) 061-5009,"http://maps.google.com/maps?q=40.07777427,-77.88777522",{AE2E1D07-C6BB-4F69-A088-549AB0E4AEA2},16832
POINT (-77.308628171698 40.102223544676),-77.30862817,40.10222354,46,515,PFBC SOUTHCENTRAL REGION,1704 PINE ROAD,NEWVILLE,PA,17241,F,-1,(793) 535-7487,"http://maps.google.com/maps?q=40.10222354,-77.30862817",{AA94E848-ADB3-437F-B5D8-560B4C2EE0F0},16889
POINT (-77.953073904326 40.239233034338),-77.9530739,40.23923303,1184,2015,WHITSELS NOTARY TAG SVC,9187 PRICE RD STE 1,THREE SPRINGS,PA,17264,F,-1,(579) 658-7530,"http://maps.google.com/maps?q=40.23923303,-77.9530739",{4D9D95CD-EFA8-499E-A879-EFAAC6132E12},16940
POINT (-76.844439122398 39.995619246756),-76.84443912,39.99561925,604,1166,SPANGLER HOME CENTER,4072 CARLISLE RD,DOVER,PA,17315,F,-1,(359) 324-4628,"http://maps.google.com/maps?q=39.99561925,-76.84443912",{C31505AE-7F6C-422D-85D0-BF0E58D4DD8D},16913
POINT (-76.821218637094 40.155268206001),-76.82121864,40.15526821,1288,2144,CULLEYS SUPPLY RENTAL LLC,15 ROBINHOOD DR,ETTERS,PA,17319,F,-1,(789) 866-0066,"http://maps.google.com/maps?q=40.15526821,-76.82121864",{0D3FEC3A-3537-4356-8AB2-3DCC780C8BFB},16838
POINT (-76.973549728254 39.804684235322),-76.97354973,39.80468424,99,552,B AND B LURES,232 FACTORY ST,HANOVER,PA,17331,F,-1,(808) 900-6848,"http://maps.google.com/maps?q=39.80468424,-76.97354973",{B4007C7F-798F-4904-A5F6-4C29E82D32F9},16821
POINT (-76.889036437429 40.086684076125),-76.88903644,40.08668408,1329,2201,HAWGHEAD MARINE AND TACKLE,2215 ROSSTOWN RD,WELLSVILLE,PA,17365,F,-1,(569) 940-2736,"http://maps.google.com/maps?q=40.08668408,-76.88903644",{16CDB74D-BD95-43CB-89A7-7023D418F5DE},16848
POINT (-76.468497085637 40.031710010874),-76.46849709,40.03171001,631,1193,SUSQUEHANNA FISHING TACKLE,3992 LOCUST GROVE RD,COLUMBIA,PA,17512,F,-1,(899) 952-6921,"http://maps.google.com/maps?q=40.03171001,-76.46849709",{BE035ED0-228E-49B7-ACC4-935A4F09BA28},16921
POINT (-76.132370301968 40.228471725972),-76.1323703,40.22847173,227,703,DENVER SUPPLY CO INC,25 MAIN ST,DENVER,PA,17517,F,-1,(180) 018-3151,"http://maps.google.com/maps?q=40.22847173,-76.1323703",{27EDD66B-19B6-45AF-93B9-A24054224D60},16841
POINT (-76.059419407725 39.811716987022),-76.05941941,39.81171699,348,882,JIM NEARYS BAIT AND TACKLE,212 SPRUCE GROVE ROAD,KIRKWOOD,PA,17536,F,-1,(280) 182-7291,"http://maps.google.com/maps?q=39.81171699,-76.05941941",{99E10BDD-583C-4BB4-90CF-BA927B84193E},16859
POINT (-76.318586999981 40.210047000025),-76.318587,40.210047,47,516,PFBC SOUTHEAST REGION,255 W BRUBAKER VALLEY RD,LITITZ,PA,17543,F,-1,(349) 638-9004,"http://maps.google.com/maps?q=40.210047,-76.318587",{7DBE163F-C5AB-4E7A-B1CD-407DC60954B2},16888
POINT (-77.81676355569 41.482247385856),-77.81676356,41.48224739,369,862,KINNEYS COUNTRY STORE AND BAR,25 MAIN STREET,CROSS FORK,PA,17729,F,-1,(125) 572-7527,"http://maps.google.com/maps?q=41.48224739,-77.81676356",{0FEC9800-1260-420C-9E0E-A394E078FBF5},16862
POINT (-76.862556000095 40.999293000216),-76.862556,40.999293,76,585,BLUE HERON SPORTS INC,5115 ST ROUTE 405,MILTON,PA,17847,F,-1,(125) 554-1066,"http://maps.google.com/maps?q=40.999293,-76.862556",{BB146383-DD83-4B88-AB8F-486C7D0B76FD},16829
POINT (-76.223432039924 40.785092861984),-76.22343204,40.78509286,662,1226,THE TACKLE BOX,102 MOREA ROAD,FRACKVILLE,PA,17931,F,-1,(927) 983-3712,"http://maps.google.com/maps?q=40.78509286,-76.22343204",{26DA2F21-B4B3-4089-A98F-452B4C0BF954},16932
POINT (-76.371472513183 40.572047289841),-76.37147251,40.57204729,79,524,A AND A BAIT SHOP,337 SWEET ARROW LAKE RD,PINE GROVE,PA,17963,F,-1,(545) 875-7838,"http://maps.google.com/maps?q=40.57204729,-76.37147251",{84F01A9F-B1A3-4C2F-81AC-14D0537AE4EB},16816
POINT (-75.471843707065 40.339474315275),-75.47184371,40.33947432,1200,2034,SUNOCO OF GREEN LANE,112 GRAVEL PIKE,GREEN LANE,PA,18054,F,-1,(193) 009-3945,"http://maps.google.com/maps?q=40.33947432,-75.47184371",{B3199130-8111-4392-ACAD-EFE88CD712D8},16918
POINT (-75.339987835327 40.591714380089),-75.33998784,40.59171438,867,1625,412 AUTO TAGS NOTARY,1558 MAIN STREET,HELLERTOWN,PA,18055,F,-1,(325) 684-7003,"http://maps.google.com/maps?q=40.59171438,-75.33998784",{B9FF0E7F-3697-4C0E-AC28-4D62D5707B5D},16811
POINT (-75.482941195844 40.758474410765),-75.4829412,40.75847441,376,909,KORENS BAIT AND TACKLE,3430 CANNONBALL DR,NORTHAMPTON,PA,18067,F,-1,(706) 086-2969,"http://maps.google.com/maps?q=40.75847441,-75.4829412",{C291CDA7-C38F-40F4-9D84-52FFB1C1EBA8},16861
POINT (-75.438012686341 40.592122210141),-75.43801269,40.59212221,672,1237,TOMS AUTO TAG NOTARY SRVCS,729 E SUSQUEHANNA STREET,ALLENTOWN,PA,18103,F,-1,(512) 175-8105,"http://maps.google.com/maps?q=40.59212221,-75.43801269",{B5458209-46A7-457F-8EA5-BB1872CC3C9B},16931
POINT (-75.970592999793 40.954338000234),-75.970593,40.954338,106,557,BARRYS LIVE BAIT,139 E GREEN ST,HAZLETON,PA,18201,F,-1,(668) 784-2626,"http://maps.google.com/maps?q=40.954338,-75.970593",{88733090-5569-4B8E-A660-D247AEB46A45},16823
POINT (-76.111327500898 40.785121489096),-76.1113275,40.78512149,640,1200,TARCS BAIT AND TACKLE SHOP,151 LOCUST LAKE RD,BARNESVILLE,PA,18214,F,-1,(613) 321-5847,"http://maps.google.com/maps?q=40.78512149,-76.1113275",{0874DE0E-EB0D-42D4-BAAD-5A8DBE9E7D9A},16928
POINT (-75.667783305284 40.840046224673),-75.66778331,40.84004622,425,969,MARZEN FEED STORE,75 HARRITY RD,LEHIGHTON,PA,18235,F,-1,(806) 106-3591,"http://maps.google.com/maps?q=40.84004622,-75.66778331",{13590B2E-DE42-487F-9CD7-1E47D30A5117},16870
POINT (-74.925672541829 41.277616384877),-74.92567254,41.27761638,1054,1842,INDEPENDENCE HOME CENTER,1543 RTE 739,DINGMANS FERRY,PA,18328,F,-1,(258) 034-2931,"http://maps.google.com/maps?q=41.27761638,-74.92567254",{602B17C2-73A1-4582-BBF6-34DE33857BC9},16851
POINT (-75.23935994869 41.229019581685),-75.23935995,41.22901958,787,1146,SKYTOP LODGE,1 SKYTOP LODGE RD,SKYTOP,PA,18357,F,-1,(721) 859-1877,"http://maps.google.com/maps?q=41.22901958,-75.23935995",{61CD560C-3813-42C5-A800-152CDED9DB62},16909
POINT (-75.553305254682 41.491096200831),-75.55330525,41.4910962,1153,1973,SMOKE RINGS,7 KENNEDY DRIVE,ARCHBALD,PA,18403,F,-1,(931) 412-5354,"http://maps.google.com/maps?q=41.4910962,-75.55330525",{8354B8D7-42EB-46E9-A558-59602003FF1E},16910
POINT (-75.464791103838 41.244083530692),-75.4647911,41.24408353,318,848,HOMETOWN HARDWARE,426 MAIN ST,GOULDSBORO,PA,18424,F,-1,(589) 674-0486,"http://maps.google.com/maps?q=41.24408353,-75.4647911",{00CD30F3-7315-4249-A5D1-7A9D57053217},16852
POINT (-75.487714398598 41.77905440378),-75.4877144,41.7790544,1188,2019,LONG JOHNS BAIT BARN,148 BENNETT RD,Union Dale,PA,18470,F,-1,(644) 978-3690,"http://maps.google.com/maps?q=41.7790544,-75.4877144",{9C8D34E9-7CDC-4602-AB2A-D10DA9983A64},16865
POINT (-76.129714533442 41.292679115243),-76.12971453,41.29267912,39,513,PFBC NORTHEAST REGION,5566 MAIN ROAD,SWEET VALLEY,PA,18656,F,-1,(454) 750-5063,"http://maps.google.com/maps?q=41.29267912,-76.12971453",{062EAEF9-CADB-411C-8B9C-0108089ED608},16884
POINT (-75.714973228294 41.733438352306),-75.71497323,41.73343835,1223,2064,ACRE LAKE STORE,10105 STATE ROUTE 106,KINGSLEY,PA,18826,F,-1,(739) 251-6115,"http://maps.google.com/maps?q=41.73343835,-75.71497323",{321F7CDB-A79E-45B3-B9A0-4F02727D7BC6},16822
POINT (-75.142774998262 40.36411908918),-75.142775,40.36411909,219,695,DAVES SPORT CENTER INC,1127 N EASTON RD,DOYLESTOWN,PA,18901,F,-1,(484) 981-1740,"http://maps.google.com/maps?q=40.36411909,-75.142775",{DDF6EF7E-6587-4467-B053-F717E3558B9A},16840
POINT (-75.311659273298 40.017454518889),-75.31165927,40.01745452,641,1202,TCO FLY SHOP MAIN LINE,895 PENN STREET,BRYN MAWR,PA,19010,F,-1,(849) 464-3430,"http://maps.google.com/maps?q=40.01745452,-75.31165927",{D19758E7-C448-4390-B769-024205B6A43D},16926
POINT (-74.833258538435 40.186051808882),-74.83325854,40.18605181,354,888,JOHNS DRIVING SCHOOL AND AUTO,914 TRENTON ROAD,FAIRLESS HILLS,PA,19030,F,-1,(596) 707-3001,"http://maps.google.com/maps?q=40.18605181,-74.83325854",{26995418-C675-474B-B949-6760BD0B7A7D},16858
POINT (-75.104554500039 39.986082000336),-75.1045545,39.986082,496,1044,PATS AUTO TAGS,2536 E ALLEGHENY AVE,PHILADELPHIA,PA,19134,F,-1,(842) 952-9519,"http://maps.google.com/maps?q=39.986082,-75.1045545",{AB772B45-8A12-45DD-A75A-5359E284239B},16877
POINT (-75.054393000375 40.021532999699),-75.054393,40.021533,606,1168,SPORT MASTER,6301 DITMAN ST,PHILADELPHIA,PA,19135,F,-1,(835) 951-4921,"http://maps.google.com/maps?q=40.021533,-75.054393",{F13A3284-1662-4471-A3D2-AD9B1EBC1016},16914
POINT (-75.230662499635 39.922245000148),-75.2306625,39.922245,632,1175,SW BAIT AND TACKLE,6503 ELMWOOD AVENUE,PHILADELPHIA,PA,19142,F,-1,(159) 339-0329,"http://maps.google.com/maps?q=39.922245,-75.2306625",{4D175342-95F4-48C2-953E-BC641E76A992},16922
